date,max_temp_C,min_temp_C,rain_mm
1853-01-01,8.4,2.7,62.8
1853-02-01,3.2,-1.8,29.3
1853-03-01,7.7,-0.6,25.9
1853-04-01,12.6,4.5,60.1
1853-05-01,16.8,6.1,59.5
1853-06-01,20.1,10.7,82.0
1853-07-01,21.2,12.2,86.2
1853-08-01,20.2,10.8,72.3
1853-09-01,17.3,8.4,51.3
1853-10-01,13.9,7.4,102.3
1853-11-01,8.7,2.3,49.6
1853-12-01,3.7,-1.3,10.7
1854-01-01,6.7,1.5,54.5
1854-02-01,8.0,0.6,22.6
1854-03-01,11.2,2.2,10.6
1854-04-01,15.0,3.5,19.9
1854-05-01,16.2,5.7,82.1
1854-06-01,18.6,9.7,45.2
1854-07-01,21.7,11.6,37.2
1854-08-01,20.9,10.7,45.4
1854-09-01,20.2,8.4,11.4
1854-10-01,13.9,5.6,57.7
1854-11-01,8.2,2.0,32.4
1854-12-01,8.3,2.1,30.7
1855-01-01,4.4,-0.4,6.9
1855-02-01,1.7,-4.5,33.7
1855-03-01,7.7,0.1,56.0
1855-04-01,13.0,2.7,10.6
1855-05-01,15.0,4.9,45.1
1855-06-01,19.4,9.3,60.0
1855-07-01,22.8,13.4,129.3
1855-08-01,21.7,12.2,42.6
1855-09-01,19.0,10.4,59.7
1855-10-01,14.0,8.2,143.1
1855-11-01,7.9,3.4,25.2
1855-12-01,5.7,-0.1,28.1
1856-01-01,6.8,2.0,74.7
1856-02-01,8.2,3.0,33.4
1856-03-01,7.9,0.6,23.9
1856-04-01,12.9,4.1,64.9
1856-05-01,14.0,5.7,110.1
1856-06-01,20.2,9.5,64.8
1856-07-01,22.2,11.3,15.8
1856-08-01,22.7,12.5,81.8
1856-09-01,16.8,8.5,80.3
1856-10-01,13.9,6.9,60.3
1856-11-01,8.1,2.3,24.2
1856-12-01,7.3,1.4,52.0
1857-01-01,5.1,-0.6,80.7
1857-02-01,7.6,0.4,8.2
1857-03-01,9.1,1.8,39.2
1857-04-01,11.9,3.7,51.3
1857-05-01,16.5,6.3,30.3
1857-06-01,22.0,10.6,77.0
1857-07-01,22.0,12.7,80.5
1857-08-01,22.8,13.2,93.5
1857-09-01,19.0,11.2,99.0
1857-10-01,14.6,7.8,116.3
1857-11-01,10.2,4.5,42.6
1857-12-01,9.6,4.5,16.8
1858-01-01,6.4,-0.1,17.3
1858-02-01,4.7,-1.2,45.0
1858-03-01,9.4,1.1,20.4
1858-04-01,13.1,4.0,90.1
1858-05-01,15.9,6.2,59.5
1858-06-01,23.6,11.9,40.4
1858-07-01,20.8,10.6,58.3
1858-08-01,21.4,11.3,36.4
1858-09-01,19.5,11.2,63.4
1858-10-01,13.4,6.9,50.4
1858-11-01,7.4,0.8,17.9
1858-12-01,7.2,2.4,54.5
1859-01-01,7.5,1.8,20.8
1859-02-01,9.4,2.7,43.1
1859-03-01,11.2,4.7,38.2
1859-04-01,12.3,3.5,63.9
1859-05-01,16.6,6.7,47.3
1859-06-01,20.7,11.1,57.4
1859-07-01,25.1,13.7,71.2
1859-08-01,21.8,12.5,97.2
1859-09-01,17.4,9.4,89.8
1859-10-01,13.7,6.6,76.3
1859-11-01,8.5,1.5,52.8
1859-12-01,5.0,-1.1,46.6
1860-01-01,6.8,0.8,82.8
1860-02-01,5.2,-1.6,32.6
1860-03-01,8.4,1.9,48.4
1860-04-01,10.6,1.7,14.8
1860-05-01,17.0,7.7,70.9
1860-06-01,17.0,9.5,129.8
1860-07-01,19.3,10.3,60.8
1860-08-01,17.9,10.9,96.7
1860-09-01,15.6,7.0,64.0
1860-10-01,13.4,7.3,39.9
1860-11-01,7.4,2.1,82.1
1860-12-01,4.4,0.0,66.6
1861-01-01,3.8,-0.7,16.8
1861-02-01,7.9,3.1,48.0
1861-03-01,10.1,3.4,43.1
1861-04-01,11.8,3.0,17.7
1861-05-01,16.1,6.5,34.9
1861-06-01,20.0,11.2,79.9
1861-07-01,19.7,12.0,130.8
1861-08-01,21.6,12.7,15.1
1861-09-01,17.9,9.9,49.6
1861-10-01,16.2,9.5,40.8
1861-11-01,8.4,1.6,78.4
1861-12-01,7.0,1.5,41.9
1862-01-01,6.6,2.2,62.2
1862-02-01,7.3,3.4,7.3
1862-03-01,9.4,3.9,138.9
1862-04-01,12.9,6.2,57.6
1862-05-01,17.6,9.2,95.5
1862-06-01,18.1,9.6,56.8
1862-07-01,19.9,10.6,44.8
1862-08-01,20.0,10.5,44.7
1862-09-01,18.2,9.9,55.1
1862-10-01,14.5,7.6,73.1
1862-11-01,6.7,0.4,25.3
1862-12-01,9.2,3.8,36.0
1863-01-01,7.7,2.5,82.1
1863-02-01,9.1,2.7,17.1
1863-03-01,10.8,1.9,17.3
1863-04-01,14.2,4.7,35.5
1863-05-01,16.4,6.0,23.2
1863-06-01,19.3,9.6,86.6
1863-07-01,21.8,9.5,17.0
1863-08-01,21.2,11.9,67.1
1863-09-01,15.8,7.6,70.3
1863-10-01,14.1,7.0,75.5
1863-11-01,10.3,4.6,51.1
1863-12-01,9.1,3.3,27.7
1864-01-01,4.8,-0.2,25.0
1864-02-01,5.5,0.0,36.9
1864-03-01,9.6,1.4,62.7
1864-04-01,14.2,4.3,41.4
1864-05-01,18.2,7.9,54.8
1864-06-01,19.8,9.8,25.6
1864-07-01,22.8,10.3,12.0
1864-08-01,21.0,8.8,19.8
1864-09-01,18.3,9.4,74.9
1864-10-01,13.6,6.8,39.8
1864-11-01,8.9,2.0,59.4
1864-12-01,5.6,1.3,9.5
1865-01-01,4.7,-0.9,78.1
