21514 20160101 0100 20151231 1500  2.424 -155.58   19.54    12.1    11.9    12.5    11.2     0.0    683 0    742 0    608 0 C    32.7 0    33.9 0    30.8 0    35 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0200 20151231 1600  2.424 -155.58   19.54    12.1    11.8    12.4    11.1     0.0    514 0    609 0    412 0 C    28.2 0    30.8 0    25.1 0    42 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0300 20151231 1700  2.424 -155.58   19.54     9.9    10.8    12.1     9.8     0.0    293 0    413 0    185 0 C    20.6 0    25.1 0    15.2 0    52 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0400 20151231 1800  2.424 -155.58   19.54    10.1    10.0    10.5     9.5     0.0     68 0    184 0      0 0 C    10.6 0    15.2 0     5.7 0    48 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0500 20151231 1900  2.424 -155.58   19.54     8.7     9.5    10.1     8.7     0.0      0 0      0 0      0 0 C     3.9 0     5.7 0     2.8 0    17 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0600 20151231 2000  2.424 -155.58   19.54     7.6     8.4     8.9     7.6     0.0      0 0      0 0      0 0 C     1.7 0     2.8 0     0.2 0    11 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0700 20151231 2100  2.424 -155.58   19.54     6.8     6.9     7.6     6.4     0.0      0 0      0 0      0 0 C    -0.4 0     0.2 0    -0.8 0     7 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0800 20151231 2200  2.424 -155.58   19.54     6.8     6.3     6.9     5.8     0.0      0 0      0 0      0 0 C    -1.2 0    -0.8 0    -1.4 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 0900 20151231 2300  2.424 -155.58   19.54     5.9     6.1     6.8     5.8     0.0      0 0      0 0      0 0 C    -1.0 0    -0.8 0    -1.3 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 1000 20160101 0000  2.424 -155.58   19.54     5.5     5.8     6.0     5.5     0.0      0 0      0 0      0 0 C    -1.0 0    -0.9 0    -1.1 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 1100 20160101 0100  2.424 -155.58   19.54     5.4     5.3     5.6     5.1     0.0      0 0      0 0      0 0 C    -1.3 0    -1.1 0    -1.5 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 1200 20160101 0200  2.424 -155.58   19.54     5.0     5.0     5.4     4.4     0.0      0 0      0 0      0 0 C    -1.8 0    -1.5 0    -1.9 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 1300 20160101 0300  2.424 -155.58   19.54     4.1     4.1     4.9     3.7     0.0      0 0      0 0      0 0 C    -2.3 0    -1.8 0    -3.0 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160101 1400 20160101 0400  2.424 -155.58   19.54     4.1     3.8     4.2     3.3     0.0      0 0      0 0      0 0 C    -3.3 0    -3.0 0    -3.5 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
