filename,frequency,instrument_family,instrument_family_str,pitch,sample_rate
string_acoustic_014-064-127,329.6275569128699,8,string,64,16000
keyboard_electronic_001-065-127,349.2282314330039,4,keyboard,65,16000
bass_synthetic_034-065-127,349.2282314330039,0,bass,65,16000
guitar_acoustic_010-064-100,329.6275569128699,3,guitar,64,16000
keyboard_electronic_001-060-075,261.6255653005986,4,keyboard,60,16000
flute_synthetic_000-071-050,493.8833012561241,2,flute,71,16000
bass_synthetic_098-064-127,329.6275569128699,0,bass,64,16000
brass_acoustic_059-060-025,261.6255653005986,1,brass,60,16000
brass_acoustic_015-069-050,440.0,1,brass,69,16000
bass_synthetic_033-067-075,391.99543598174927,0,bass,67,16000
organ_electronic_007-072-050,523.2511306011972,6,organ,72,16000
mallet_acoustic_056-062-075,293.6647679174076,5,mallet,62,16000
bass_synthetic_068-072-025,523.2511306011972,0,bass,72,16000
organ_electronic_028-065-050,349.2282314330039,6,organ,65,16000
brass_acoustic_046-060-100,261.6255653005986,1,brass,60,16000
keyboard_acoustic_004-065-127,349.2282314330039,4,keyboard,65,16000
keyboard_electronic_001-071-050,493.8833012561241,4,keyboard,71,16000
bass_electronic_027-060-050,261.6255653005986,0,bass,60,16000
bass_synthetic_098-069-050,440.0,0,bass,69,16000
vocal_synthetic_003-067-025,391.99543598174927,10,vocal,67,16000
bass_synthetic_068-069-127,440.0,0,bass,69,16000
guitar_acoustic_021-062-127,293.6647679174076,3,guitar,62,16000
keyboard_electronic_002-060-100,261.6255653005986,4,keyboard,60,16000
bass_electronic_027-060-127,261.6255653005986,0,bass,60,16000
keyboard_electronic_001-060-100,261.6255653005986,4,keyboard,60,16000
organ_electronic_007-071-050,493.8833012561241,6,organ,71,16000
bass_electronic_027-062-100,293.6647679174076,0,bass,62,16000
bass_synthetic_033-071-075,493.8833012561241,0,bass,71,16000
reed_acoustic_011-062-050,293.6647679174076,7,reed,62,16000
flute_synthetic_000-065-025,349.2282314330039,2,flute,65,16000
keyboard_synthetic_000-062-127,293.6647679174076,4,keyboard,62,16000
reed_acoustic_018-065-075,349.2282314330039,7,reed,65,16000
reed_acoustic_037-071-100,493.8833012561241,7,reed,71,16000
keyboard_electronic_001-069-100,440.0,4,keyboard,69,16000
flute_synthetic_000-062-100,293.6647679174076,2,flute,62,16000
guitar_acoustic_010-065-050,349.2282314330039,3,guitar,65,16000
reed_acoustic_023-067-100,391.99543598174927,7,reed,67,16000
guitar_electronic_028-071-127,493.8833012561241,3,guitar,71,16000
organ_electronic_028-071-050,493.8833012561241,6,organ,71,16000
guitar_acoustic_021-062-100,293.6647679174076,3,guitar,62,16000
bass_synthetic_068-071-100,493.8833012561241,0,bass,71,16000
vocal_synthetic_003-062-025,293.6647679174076,10,vocal,62,16000
mallet_acoustic_062-060-100,261.6255653005986,5,mallet,60,16000
guitar_acoustic_015-069-127,440.0,3,guitar,69,16000
keyboard_electronic_002-062-127,293.6647679174076,4,keyboard,62,16000
brass_acoustic_016-062-100,293.6647679174076,1,brass,62,16000
organ_electronic_001-071-127,493.8833012561241,6,organ,71,16000
string_acoustic_057-067-050,391.99543598174927,8,string,67,16000
flute_acoustic_002-067-127,391.99543598174927,2,flute,67,16000
bass_synthetic_009-062-127,293.6647679174076,0,bass,62,16000
bass_synthetic_034-067-127,391.99543598174927,0,bass,67,16000
vocal_acoustic_000-060-100,261.6255653005986,10,vocal,60,16000
keyboard_electronic_002-069-025,440.0,4,keyboard,69,16000
guitar_acoustic_010-069-127,440.0,3,guitar,69,16000
mallet_acoustic_062-064-025,329.6275569128699,5,mallet,64,16000
keyboard_electronic_078-064-050,329.6275569128699,4,keyboard,64,16000
bass_synthetic_033-065-025,349.2282314330039,0,bass,65,16000
guitar_acoustic_021-064-025,329.6275569128699,3,guitar,64,16000
guitar_electronic_022-065-100,349.2282314330039,3,guitar,65,16000
bass_synthetic_009-062-100,293.6647679174076,0,bass,62,16000
string_acoustic_057-067-075,391.99543598174927,8,string,67,16000
brass_acoustic_006-065-100,349.2282314330039,1,brass,65,16000
keyboard_electronic_098-067-050,391.99543598174927,4,keyboard,67,16000
mallet_acoustic_062-069-050,440.0,5,mallet,69,16000
brass_acoustic_015-072-025,523.2511306011972,1,brass,72,16000
vocal_synthetic_003-060-127,261.6255653005986,10,vocal,60,16000
string_acoustic_057-072-127,523.2511306011972,8,string,72,16000
keyboard_electronic_098-069-127,440.0,4,keyboard,69,16000
guitar_acoustic_021-069-050,440.0,3,guitar,69,16000
guitar_acoustic_021-062-050,293.6647679174076,3,guitar,62,16000
keyboard_electronic_078-071-075,493.8833012561241,4,keyboard,71,16000
organ_electronic_057-072-050,523.2511306011972,6,organ,72,16000
keyboard_synthetic_000-069-075,440.0,4,keyboard,69,16000
bass_synthetic_135-065-127,349.2282314330039,0,bass,65,16000
keyboard_acoustic_004-062-127,293.6647679174076,4,keyboard,62,16000
guitar_acoustic_021-064-100,329.6275569128699,3,guitar,64,16000
bass_synthetic_068-067-025,391.99543598174927,0,bass,67,16000
bass_synthetic_068-065-050,349.2282314330039,0,bass,65,16000
bass_synthetic_135-062-127,293.6647679174076,0,bass,62,16000
organ_electronic_104-067-025,391.99543598174927,6,organ,67,16000
guitar_acoustic_015-069-075,440.0,3,guitar,69,16000
mallet_acoustic_062-062-050,293.6647679174076,5,mallet,62,16000
keyboard_electronic_003-062-127,293.6647679174076,4,keyboard,62,16000
organ_electronic_113-060-100,261.6255653005986,6,organ,60,16000
keyboard_electronic_001-060-025,261.6255653005986,4,keyboard,60,16000
string_acoustic_014-060-100,261.6255653005986,8,string,60,16000
